Keyword1,Weight1
心疼,245.9827
温暖,244.5748
苏州,231.3324
早安,225.7143
疼,220.5495
幸福,211.2467
同事,200.177
慢慢,198.4756
不想,196.5576
身边,190.5185
再见,182.4961
难过,182.2612
放不下,181.1228
寂寞,178.2755
有时候,176.4399
遇见,173.1334
运动,170.3387
忘记,169.2825
生日快乐,165.0249
咖啡,163.4002
男人,161.3768
休闲,161.1105
回头,157.7065
吃饭,157.4789
菜,152.9756
温柔,144.8602
下班,144.2876
朋友,140.8265
放手,140.1412
明天,136.5186
动物,131.4662
喜欢,130.04
加班,128.7135
学习,126.2053
点评,125.8578
妈妈,124.7563
睡不着,121.9837
告诉,121.7671
美好,118.9336
领导,118.6806
陌生人,117.205
努力,117.069
疼痛,115.6444
分手,115.5542
思念,114.1327
休息,112.3701
得不到,111.9442
拥抱,111.7531
艺术,110.808
顺其自然,109.367
衣服,106.6912
生病,106.6867
火锅,106.3948
错过,106.0639
星星,105.4539
睡觉,105.0324
放下,103.9948
奶茶,103.4437
展示,102.8023
总有一天,102.6854
上课,102.2044
店,102.1613
起床,101.375
做饭,100.9901
不在乎,100.3813
拍照,98.8121
想念,97.9637
小区,97.929
办公室,97.6636
孤单,97.5403
跑步,95.9206
床上,95.5541
房间,95.4365
我会,94.2499
开心,93.9484
浪漫,93.8597
孤独,92.5604
谈恋爱,92.4976
酒店,92.2198
真好,92.2132
回家,91.2495
男朋友,90.3147
这辈子,90.0666
摩羯座,89.2653
水果,88.3664
医院,88.319
连衣裙,85.8639
医生,85.8528
相遇,85.7371
旅行,84.3234
书店,84.2042
后悔,83.8152
