Keyword1,Weight1
工作,723.7802
老师,682.5084
学校,442.349
图书馆,352.1465
宿舍,349.6554
毕业,343.3415
上课,321.2052
学习,296.5182
食堂,247.1463
不想,232.6031
身边,232.2989
温暖,227.3057
疼,226.1085
幸福,221.3151
大学,211.2931
难过,193.9979
放不下,192.6185
男人,191.183
休闲,187.5591
忘记,183.9822
学院,182.9004
遇见,180.4619
再见,178.777
吃饭,172.7036
苏州大学,165.7575
回头,165.4881
动物,165.2724
温柔,161.1366
作业,161.1032
放手,159.8023
明天,159.7322
朋友,158.0746
校园,155.6872
喜欢,151.0425
摩羯座,143.9982
咖啡,143.3875
分手,142.0203
课,140.4112
生日快乐,140.2083
告诉,139.9466
运动,138.2697
拥抱,132.0415
思念,131.5146
艺术,129.8112
谈恋爱,127.8195
得不到,126.5623
教室,126.4033
菜,126.3491
陌生人,125.3757
努力,124.3917
浪漫,121.6537
错过,120.4666
生病,120.237
顺其自然,119.4729
相遇,119.4172
美好,117.0119
苏州,116.5708
这辈子,114.5072
放下,114.4456
同学,113.5265
拍照,113.4912
想念,113.2009
总有一天,112.7628
好看,112.4526
疼痛,112.0684
奶茶,111.4765
男朋友,110.5328
开心,110.3465
床上,109.4839
领导,106.8883
回不去,105.5551
伤心,105.452
孤单,104.7607
不在乎,103.8482
展示,103.7169
好听,103.3559
衣服,103.3385
我会,102.6574
早安,101.4489
连衣裙,100.635
读书,100.1985
室友,100.0454
打卡,99.4701
司机,99.3001
真心,99.2936
孤独,98.4913
真好,97.0598
妈妈,96.0576
考试,94.9273
睡觉,94.2945
