Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
极速,摇滚歌曲,；（）、,0.7757,0.6019,0.5709
分手,煎熬,回忆,0.7809,0.739,0.6859
仙女,总动员,喜剧,0.6418,0.5921,0.5404
永远,小鱼,中水,0.6125,0.598,0.4556
少不了,注定,玩儿,0.6976,0.6523,0.5669
升级换代,秘密,想要,0.6265,0.5943,0.4917
骨子里,哈哈哈哈,韩国,0.7324,0.7192,0.4803
糟心,骗子,社会,0.6743,0.6629,0.4935
钢管舞,胖胖的,钢管,0.8122,0.7266,0.4891
输尿管,病例,腰痛,0.7898,0.7501,0.7441
后半夜,希望,楼,0.6962,0.47,0.446
软弱无力,迷迷糊糊,角落里,0.7954,0.7612,0.7561
咱俩,晚上,通宵,0.6598,0.6365,0.632
失去,想想,担心,0.7511,0.5596,0.5195
艺术家,瓷片,飘忽,0.8612,0.4806,0.2343
七八十万,热巴,小童,0.6866,0.581,0.5209
几只羊,老婆,一顿,0.7218,0.6965,0.6197
爸爸妈妈,减肥,介绍,0.744,0.6395,0.4283
伤害,酸酸的,看完,0.6116,0.5836,0.546
男生,母亲,退婚,0.675,0.5892,0.557
漫步,承天寺,月台,0.6665,0.6092,0.4286
休息,滑板,小宝宝,0.7719,0.7442,0.5299
一场,你,世界,0.591,0.5894,0.4868
可爱,猫猫,？？,0.6853,0.6695,0.5266
机长,免费,朋友,0.8333,0.4917,0.4568
配音,原来,玩,0.6482,0.6214,0.4134
勤俭持家,贤慧,征友,0.7424,0.7115,0.6561
宝马,今年年底,照曝光,0.6204,0.618,0.4781
不大不小,忧伤,梦想,0.7491,0.6306,0.5609
活着,哈哈,家伙,0.7073,0.692,0.6386
灰烬,那些,重要,0.6995,0.6341,0.5632
下班,坚持,创作,0.8304,0.5656,0.5277
油,降临,跑,0.59,0.4695,0.3393
银行,开门,每天,0.6445,0.4832,0.4712
全世界,会动,如果,0.679,0.5392,0.5267
风雨同舟,牵住,白头,0.8523,0.7514,0.6462
奉子成婚,不想,林心如,0.8235,0.7116,0.6711
礼物,女孩子,简单,0.7657,0.66,0.6117
急诊,扁桃体,熬不住,0.8243,0.7186,0.5536
摄像师,已经,内伤,0.7477,0.513,0.4818
纯净,发呆,世界,0.7389,0.7055,0.4382
稍纵即逝,凤毛麟角,享受,0.85,0.5665,0.5158
彩礼,嘉宾,建议,0.6699,0.6461,0.5505
看淡,小时候,熙熙攘攘,0.6655,0.6343,0.5413
恰到好处,迷人,好处,0.9235,0.7884,0.4872
寂寞,休止符,自由,0.7428,0.7038,0.4059
友情,想要,这样,0.6833,0.491,0.4872
汽车轮胎,长途,越野,0.677,0.658,0.6398
百转千回,歌声,流行音乐,0.7242,0.7143,0.6759
拍,知道,板砖,0.6111,0.48,0.4429
永远,女生,无论是,0.6762,0.5987,0.5512
阡陌,浮生,几何,0.7416,0.5938,0.4702
我会,快乐,自在,0.7628,0.6902,0.658
医院,身心俱疲,啊,0.8496,0.5194,0.2945
工科大学,男生,标本,0.7578,0.7231,0.4603
天生一对,寂寞,一刹那,0.7953,0.7421,0.734
一生一世,饭局,老婆,0.7656,0.7548,0.6659
大学,网吧,浪费,0.6864,0.5559,0.5321
打着灯笼,喊冤,。”。“,0.7122,0.6372,0.5022
放弃,岔气,卧槽,0.7414,0.6956,0.6248
不经意,面对现实,疲惫,0.7646,0.7321,0.6607
遇到,魔鬼怪,西游记,0.6407,0.6321,0.6178
阴影,童话,无痛苦,0.6749,0.5992,0.5663
总有一天,失眠,空间,0.8369,0.6119,0.5005
轮椅,方便,共享,0.827,0.7188,0.5656
哈哈哈哈,聊,中文,0.7324,0.5904,0.4844
从来不,自己,想象,0.7932,0.5881,0.5022
结局,没想到,堪称,0.7153,0.6519,0.4867
系鞋带,夏天,美美,0.7434,0.7039,0.6484
推倒,感叹号,浊酒,0.6915,0.6857,0.6581
孙悟空,哈哈哈哈,配音,0.7407,0.7325,0.6633
眼中,了解,中国,0.5708,0.5432,0.5319
生生不息,憧憬,努力,0.8865,0.6935,0.6894
多少次,新车,第一季度,0.5938,0.5496,0.453
柔软,学生,文艺,0.6083,0.5409,0.4885
嘲笑,没穿,穿过,0.6481,0.6145,0.5553
停不下来,啤酒,氦气,0.7643,0.673,0.6268
笑笑,青蛙,尼玛,0.7124,0.6691,0.6071
委屈,悲伤,伤悲,0.7623,0.7517,0.6881
没心没肺,记忆,幼稚,0.8466,0.67,0.5641
愿望,日常,睡,0.7051,0.6896,0.6046
记笔记,课,突然,0.8562,0.7045,0.4504
小学生,静下,段子,0.7473,0.5665,0.5114
不卑不亢,大题小作,颠簸,0.7622,0.6216,0.6007
相差太多,领军人物,游戏,0.6236,0.5396,0.4982
吸引,心酸,只能靠,0.7087,0.7007,0.6458
治愈,喵,侧,0.7594,0.5101,0.3879
课间操,天生,本年度,0.919,0.3894,0.3212
老人,皱纹,我们,0.7011,0.6953,0.6037
图书馆,提示牌,散步,0.7961,0.5771,0.5623
左右,不要,情绪,0.6246,0.6025,0.5222
一脸茫然,离去,说完,0.8107,0.7615,0.6911
决绝,离去,白云,0.784,0.7304,0.5805
医院,你,考试,0.83,0.3033,0.2309
花草,晚安,雕刻,0.6952,0.5582,0.5351
骗子,伤害,哈哈,0.6382,0.6201,0.5462
耿直,不语,解释,0.7656,0.6706,0.5419
自作多情,坐下,乞求,0.772,0.73,0.637
电台,收购,瑞典,0.6449,0.5844,0.5386
爱情喜剧,主题曲,张柏芝,0.7267,0.7136,0.6776
打野,解说,吓死人,0.6128,0.5405,0.5274
逃避现实,我会,斗志,0.791,0.718,0.4928
送给,男演员,专业,0.6857,0.646,0.5086
一起,感情,基础,0.6891,0.5896,0.5289
大不了,请进,考,0.6813,0.4986,0.4144
作弊,手段,打开,0.706,0.4876,0.382
哈哈哈哈,豪爽,女生,0.7,0.6604,0.5799
相思,笑嫣然,乘,0.7356,0.6908,0.3895
段时间,马路,木乃伊,0.6726,0.6713,0.606
睡觉,过头,睡,0.8718,0.6721,0.6698
厨房,忍痛割爱,功能,0.8375,0.5588,0.4577
可爱,猫猫,？？,0.6853,0.6695,0.5266
昆山,下雪,山下,0.7821,0.7106,0.6696
送给,杀猪刀,大家,0.8159,0.7921,0.4622
想象,你,条件,0.5414,0.5194,0.4948
宿舍,身边,仓鼠,0.7854,0.5037,0.4992
不冷不热,陌生人,放手,0.8529,0.8286,0.7666
表演,碰撞,委屈,0.7515,0.5728,0.4994
不冷不热,疼,关心,0.6733,0.6139,0.5801
无话不谈,朋友,足够,0.8415,0.6702,0.6254
手术,微创,一切顺利,0.8193,0.6416,0.5585
令人感动,铺垫,喜剧,0.7444,0.6379,0.5619
有戏,演技,享受,0.6456,0.6257,0.3601
工作,过年,开始,0.8333,0.4857,0.3127
