Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
输液,护士,小姐姐,0.89,0.8306,0.263
挂号,医保卡,手足无措,0.9244,0.8528,0.5301
爷爷,好,快点,0.5902,0.4509,0.3913
一碗,腻味,姑娘,0.7895,0.7417,0.7291
新华书店,书店,发布,0.9195,0.8953,0.2339
受伤,运气,之后,0.7841,0.7794,0.6285
血压,护士,老师,0.8452,0.817,0.3127
晴空,蓝天白云,爱,0.8724,0.864,0.7634
恋爱,读本,贴着,0.7692,0.6728,0.6095
绝望,夜,是,0.756,0.5973,0.4266
老毛病,毛病,没有止境,0.9164,0.7945,0.6208
发烧,报道,开车,0.6177,0.4338,0.2805
珍藏,明明,只有,0.755,0.7086,0.6533
打败,降临,有幸,0.808,0.7521,0.4733
真实,人品,待,0.8318,0.7614,0.4499
活着,总会,作用,0.7844,0.5774,0.4075
自己,取食,享用,0.7329,0.5853,0.5675
坚持,工资,接下,0.6822,0.6217,0.5401
放晴,心,自定,0.8617,0.7338,0.6572
医院,不解之缘,需要,0.9103,0.1491,0.1199
怎会,一瞬间,释迦牟尼,0.8679,0.8479,0.8019
打针,医院,啊啊啊,0.9117,0.8776,0.2522
录像,拍到,红火,0.7977,0.6947,0.5447
搞清楚,杀人放火,，、,0.8373,0.7383,0.5994
疯疯癫癫,认真,漠视,0.8688,0.8242,0.8044
看开,得与失,难以预料,0.8765,0.8278,0.8033
直言,能量,祖国,0.8306,0.6576,0.6303
价值,什么,忙,0.7502,0.7328,0.5486
连衣裙,清新,款式,0.9354,0.7549,0.6411
自欺欺人,委屈求全,演,0.8843,0.81,0.4638
一帮人,市场,上海市人民政府,0.6802,0.6275,0.573
火锅,，,地雷,0.9368,0.1378,0.1005
烦死,讨厌,翻盖,0.7981,0.7898,0.7864
不在乎,原声,结局,0.809,0.7477,0.6801
美的,挥之不去,岁月蹉跎,0.8598,0.8279,0.7773
夜班,不着,的,0.9006,0.2846,0.1375
抽血,吃饭,喝水,0.7082,0.3889,0.281
不在乎,很傻,那么,0.8804,0.8493,0.5235
看不过去,干净,男士,0.835,0.8309,0.7991
追求,泪水,激动,0.8199,0.7902,0.7275
真诚,虚假,不累,0.8814,0.8348,0.815
生命,暴雨,宝贵,0.7157,0.6549,0.6397
争吵不休,班门弄斧,开心,0.834,0.7333,0.7331
简单,早安,变质,0.8481,0.8337,0.7836
角落里,黑暗,尽头,0.7902,0.7732,0.6216
老人,冷飕飕,保温杯,0.6499,0.6147,0.6023
以父之名,本草纲目,第七章,0.7968,0.6663,0.5801
不在乎,加倍,什么,0.8967,0.8177,0.7056
担心,释怀,一份,0.8633,0.7148,0.6927
毛衣,微胖,乱说话,0.8878,0.8429,0.771
录下,只是,记录,0.707,0.7017,0.6784
健康,平安,重要,0.7768,0.4788,0.3682
一会,再,看,0.7739,0.6219,0.5572
一大,感觉,晚上,0.7129,0.6835,0.6732
很静,其实,人才,0.8486,0.7543,0.5724
