Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
歌迷会,分会,太好了,0.8405,0.6273,0.6115
店面,氛围,。,0.9286,0.15,0.1057
演唱会,现场,赶来,0.666,0.5214,0.5104
论文,书局,临港,0.6756,0.454,0.248
合唱,台上,唐人街,0.7349,0.6276,0.4815
眉,燕,无,0.7345,0.6204,0.3753
临港,百,团,0.8542,0.5578,0.4804
不好受,热,果然,0.8834,0.7326,0.6838
个里,啷,个,0.7248,0.694,0.4252
很美,不错,过来,0.8539,0.7698,0.4757
歌曲,最爱,全场,0.765,0.6979,0.5659
地铁,感人,本学期,0.768,0.6233,0.5589
赴约,不多,话,0.8871,0.7523,0.6941
了,值,0.5347,0.3788,,
今天天气,真不错,天气,0.9421,0.8208,0.7804
好久没,唱,现场,0.7527,0.5939,0.5107
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
睡衣,讨厌,对了,0.8269,0.74,0.5768
吃饭,超市,啃起来,0.6982,0.398,0.3349
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
华为,想买,爽歪歪,0.7094,0.6241,0.6108
研究,偶像,在家,0.8991,0.3595,0.1481
伴,老样子,动车,0.7571,0.7266,0.5196
好好,不能,还,0.7636,0.6159,0.5176
公演,兄弟姐妹,系,0.7202,0.623,0.5471
物业费,毒瘤,起诉,0.7227,0.5823,0.4766
不容,车子,服役,0.7448,0.7329,0.574
研究,捉迷藏,街道,0.879,0.3953,0.1504
睡觉,老婆,等,0.851,0.8152,0.4543
一箱,京东,不错,0.7397,0.7168,0.6822
烧烤,老街,无证无照,0.6333,0.4737,0.3479
领养,养女,美好,0.7837,0.7346,0.6858
灯光,舞台,住,0.6926,0.6288,0.3082
别墅,多少钱,门口,0.7449,0.4113,0.314
太美,丹丹,张,0.89,0.8339,0.6161
剧院,周年,三月份,0.7514,0.4171,0.3077
抽烟,烟感,足足,0.8019,0.7964,0.764
手机号,喜欢,删除,0.8135,0.7704,0.6417
结婚照,哥哥,身下,0.8427,0.8088,0.671
很多歌,老哥,台,0.8484,0.805,0.5282
初心,歌曲,支队,0.7275,0.5919,0.4798
公演,直播,看,0.7811,0.6582,0.5577
展览馆,世博,去过,0.8019,0.5455,0.1188
公演,会演,今年,0.7354,0.6736,0.6071
看场,演出,舞姿,0.659,0.6126,0.4876
不错,逼,牛,0.7801,0.7365,0.7123
演唱会,终身大事,哥哥,0.8052,0.7767,0.7309
剧院,周年,一直,0.7481,0.4781,0.2861
冲动,两辆,买,0.7686,0.6647,0.5875
寿比南山,发财,男朋友,0.8338,0.7843,0.7037
酒吧,迪厅,节日快乐,0.7841,0.4774,0.2377
孤独,沧桑,情,0.8327,0.7722,0.769
无关紧要,一点很多,忙,0.8989,0.8855,0.578
驯兽,外观,宣传,0.8373,0.5913,0.5111
短裤,花环,诉说着,0.8844,0.6704,0.5816
索尼克,电视,儿科,0.7555,0.6368,0.1575
坚强,一切,没事,0.8818,0.8029,0.7159
伤心,果断,性格,0.825,0.8243,0.7439
傲江湖,温柔,公测,0.8706,0.813,0.754
生日快乐,生命,即使,0.9059,0.7295,0.6792
性感,毛衣,拜拜,0.8809,0.8752,0.3562
打电话,有事,以后,0.8188,0.7326,0.6588
越来越,刀,启示录,0.8044,0.664,0.6081
明白,痛彻,终于,0.8056,0.5766,0.532
一辈子,没关系,爱情,0.8902,0.8637,0.8441
寂寞,厉害,养猪,0.8288,0.8237,0.7289
在生活中,早安,向后看,0.8295,0.8251,0.804
伤感情,旁观者,当局者,0.838,0.6962,0.5657
不可逆转,最好,抛光,0.8178,0.7542,0.7119
听不见,主宰,学,0.8133,0.6871,0.3164
强颜欢笑,歌女,此曲,0.8878,0.7951,0.6025
教育,健康美,到,0.6866,0.581,0.0541
聪明,男人,不要,0.8765,0.8625,0.718
好不好,自己,每天,0.8403,0.8057,0.7899
真的,卧室,逝,0.8073,0.4972,0.2659
派送,不信,大包大揽,0.7625,0.6668,0.6176
男人,想要,其实,0.8178,0.7599,0.7143
病,风华正茂,搀扶,0.7231,0.4908,0.4652
小苏打,那些,周到,0.8921,0.6445,0.5971
这辈子,女人,两个,0.8679,0.858,0.7192
老师,同学,感到遗憾,0.8087,0.6408,0.2932
王者,志同道合,竞技场,0.7874,0.7105,0.6922
潜力,联盟,无限期,0.8265,0.7238,0.6595
长假,瘪瘪的,总,0.8132,0.6243,0.3963
健康,保持平衡,一辈子,0.8253,0.7848,0.7521
男,音乐,收听,0.7611,0.7542,0.6251
忽冷忽热,患得患失,讨厌,0.9479,0.9113,0.8459
看见,孔雀,树上,0.7591,0.7507,0.7369
奥迪,浓厚,公务,0.7729,0.6642,0.3632
简单,不计后果,一天,0.8483,0.8308,0.8209
嘲笑,伤风败俗,语法,0.8107,0.785,0.5618
颈椎,肩膀,想要,0.8443,0.795,0.6747
抗氧化性,机油,粘度,0.8247,0.7472,0.7101
下雨,二个月,天干,0.8355,0.7724,0.5849
悔恨,真正,重蹈覆辙,0.8342,0.7933,0.6075
天蝎座,感觉,心灰意冷,0.835,0.816,0.7476
黑色幽默,拍摄,格陵兰岛,0.7972,0.6643,0.5633
微光,穿行,去,0.8081,0.6581,0.3613
脚下,发现,地下,0.7747,0.6585,0.5449
秋水,网游,结婚,0.8023,0.7348,0.7259
学生,真不,采访,0.7393,0.661,0.5699
清澈,痴心,轻音乐,0.8823,0.8795,0.8436
生病,金牛座,可怜,0.6951,0.6018,0.5963
狠心,学会,叫外卖,0.7891,0.7451,0.618
化妆品,游手好闲,桌上,0.7499,0.7132,0.5868
快乐,年老,奉献,0.7581,0.675,0.6449
叹息,被车撞,他,0.8268,0.8243,0.64
牛排,厨子,烹饪,0.7506,0.7252,0.7121
暑假作业,学生,没用,0.8997,0.6425,0.4596
司机,当即,巨大,0.7533,0.6736,0.6366
聪明,病,父母,0.6134,0.6024,0.4606
快乐,明白,故事,0.8336,0.8223,0.7096
处女座,双鱼座,狮子,0.8869,0.8828,0.7768
现代舞,专辑,老师,0.8606,0.6599,0.3507
现场,打交道,勿扰,0.6913,0.6642,0.5505
男人,珍惜,流尽,0.8451,0.7439,0.7318
茶餐厅,煮出,朋友圈,0.7912,0.5686,0.2849
默默无闻,单曲,北海道,0.8387,0.6914,0.5612
怅惘,满心,记忆,0.8381,0.8257,0.7035
爱与恨,无缘,相伴,0.8874,0.8458,0.7001
一直,需不需要,不管,0.8217,0.7816,0.7233
火箭,偷笑,来来来,0.8399,0.7749,0.6444
吃饭,真心实意,铁,0.8373,0.2607,-0.0324
一段落,固执,未来,0.8486,0.826,0.7931
自欺,一起,再也,0.8142,0.7593,0.745
说不出,贞洁,王牌,0.866,0.8611,0.8146
大理,喜欢,歌曲,0.7723,0.558,0.4192
温泉水,皮肤,温泉,0.8025,0.7893,0.6278
没话说,电话响,需要,0.8136,0.7298,0.5707
睿智,深远,一路,0.8623,0.7858,0.5271
教科书,教科,谈得上,0.8784,0.7887,0.5227
心病,女性朋友,外,0.7123,0.7068,0.3826
我爱你,挫骨扬灰,万丈深渊,0.8739,0.854,0.8104
努力,发现自己,真的,0.8752,0.8225,0.8085
失落,手机,相见,0.8279,0.8048,0.548
做事,躲闪,谢绝,0.7764,0.748,0.6173
鹦鹉,景点,等,0.5486,0.5413,0.2855
朝夕,再见,不敢,0.8299,0.7032,0.6905
真的,炽烈,等待,0.8209,0.8183,0.4262
想干什么,自由,能力,0.8815,0.7884,0.6764
声音,成长,一路,0.8353,0.8268,0.5202
不爽,情绪低落,一场,0.8714,0.8556,0.6497
心肠,要么,江苏,0.8661,0.7007,0.5623
不在意,人生,答案,0.8505,0.7586,0.5422
自始自终,走走停停,始自,0.8052,0.7811,0.6989
女海盗,一系列,朝鲜,0.7792,0.6092,0.4695
浪漫,音乐,释放,0.8039,0.7712,0.7263
韩剧,收视率,晚十点,0.7691,0.7305,0.6468
关系网,人生目标,磨练,0.8354,0.6734,0.6608
节奏,演唱,吓死人,0.8126,0.7879,0.6222
现在,换洗,本府,0.7514,0.748,0.4616
下雨天,发脾气,潜意识,0.8614,0.825,0.7647
高跟鞋,这个,目前为止,0.8358,0.6798,0.6221
身边,自己,读懂,0.7798,0.7368,0.698
只是,爱,表现,0.7638,0.7173,0.6824
看不清,梦,生水,0.8251,0.6953,0.6896
自尊,做人,之间,0.8784,0.764,0.5471
电视,是因为,校服,0.7133,0.6238,0.5599
伟大,一块钱,这么,0.7984,0.7176,0.6766
酒吧,喝醉,第二天,0.652,0.555,0.3304
感情,一切,青春,0.8177,0.7965,0.7907
我爱你,昔日,脑袋,0.8865,0.7785,0.7707
老师,猥琐,也,0.8602,0.3383,0.2145
最近,胡思乱想,留言,0.7606,0.7436,0.6843
狮子座,狮子,第一名,0.9261,0.8327,0.7494
魔兽,人愿,登场,0.809,0.7007,0.5812
咖啡,吃喝,吃喝玩乐,0.7712,0.6644,0.4979
演唱会,镜中人,现场,0.8062,0.6698,0.6369
不会,性价比,多么,0.7535,0.7185,0.6942
卑微,一点点,一点,0.8213,0.7975,0.7566
说情,敞亮,未必,0.84,0.8046,0.7587
香菜,西湖,用,0.8302,0.2515,0.1947
一天,晚上,暂短,0.8465,0.7772,0.4686
一切,降低,能力,0.7633,0.7368,0.6878
任课老师,美的,班,0.8791,0.3878,0.3829
恋爱,努力,不用,0.8004,0.7869,0.5919
什么样,环境,负责,0.7811,0.6941,0.3867
今晚,一张,照,0.7274,0.674,0.5486
泸沽湖,湖,西北面,0.8368,0.5794,0.47
温暖,大鱼大肉,长生不老,0.8349,0.8226,0.7946
车,等,凄凄惨惨,0.8458,0.6962,0.5502
影画,眼镜,跟着,0.7963,0.6764,0.6385
懦弱,好脾气,实际上,0.8531,0.8447,0.6869
一切顺利,样本,天一,0.6262,0.5536,0.4891
行走,六楼,健康,0.6909,0.637,0.5955
裙摆,时尚,前短后长,0.8843,0.8287,0.7735
一生何求,陈百强,听到,0.8779,0.7905,0.7746
清清爽爽,爱车,保养,0.7686,0.7674,0.7363
失败,昨天,死去,0.7867,0.7842,0.7083
感到,当回事,根本,0.7937,0.7871,0.7618
晚上,紧急,坐等,0.6827,0.6654,0.5588
幸福,拿到,不是,0.8025,0.7376,0.6936
身心俱疲,出巡,相连,0.8081,0.7447,0.6708
烦恼,强力,电流,0.8088,0.807,0.5253
专业知识,读书,坏毛病,0.7964,0.6068,0.5946
想要,心里,再好,0.8246,0.7322,0.5963
冬天,收到,调到,0.7602,0.7231,0.5719
华丽,担心,呐喊,0.8264,0.7751,0.7718
摇滚乐,无法自拔,演奏,0.8619,0.7707,0.6822
无能为力,伤心,注视,0.9095,0.8673,0.7655
男人,感动,再好,0.8473,0.732,0.5028
黑头,推荐,严重,0.8248,0.5567,0.5219
干净,相依,楼下,0.7858,0.5312,0.4578
力量,交叉点,决定,0.8018,0.7325,0.5999
猪肉,烤肉串,寄生虫,0.7685,0.7315,0.2591
认认真真,学会,对生,0.8293,0.7749,0.5689
唐僧,记忆,牢笼,0.8088,0.7042,0.676
没好气,苹果,做事,0.8245,0.6695,0.6668
发抖,卧室,感染,0.82,0.5574,0.3836
第一天,工作,拼了命,0.8199,0.6849,0.556
硅谷,预告片,本剧,0.8138,0.7049,0.6659
没什么,身败名裂,坏人,0.8477,0.8116,0.7783
缘份,美丽,蛰伏,0.8547,0.8197,0.7422
学校,小学,小孙子,0.8511,0.6591,0.4435
努力,是不是,一把,0.8126,0.8123,0.7584
车窗,一大早,上班,0.7409,0.7152,0.6256
不想,认真,痛,0.8004,0.7084,0.5561
口福,冻裂,四瓶,0.8435,0.7497,0.7291
坚强,学会,职场,0.8093,0.7276,0.5636
缺少美,真正,事业,0.8836,0.7964,0.7451
回家,了了,受不了,0.7701,0.761,0.6378
四处奔波,就要,爱情,0.8637,0.767,0.5133
一首歌,头像,拜拜,0.8167,0.7696,0.5161
男女朋友,开心,真不错,0.9116,0.805,0.7299
自以为是,爱,我们,0.8901,0.7172,0.643
海浪,沙滩,阳光,0.7889,0.784,0.7115
快乐,悲伤,忘记,0.8482,0.8156,0.808
直白,精神,高压,0.8182,0.7041,0.6119
买菜,呵呵,去,0.7914,0.232,0.0253
简直,银河系,体贴,0.8397,0.7701,0.7696
看不清,御寒,眼镜,0.8321,0.8087,0.7791
侠风,玩家,标签,0.8003,0.5491,0.545
肌肤,按摩,取适量,0.8406,0.8193,0.6241
一周,》。,编剧,0.755,0.7109,0.7041
血缘关系,姐妹,谢谢,0.8242,0.5871,0.4212
五千年,西风,半杯,0.8714,0.8017,0.7001
只为,感情,遇见,0.822,0.8035,0.6522
底气十足,童声,首歌,0.8844,0.8582,0.6604
小勺,铁锅,下锅,0.7209,0.698,0.6753
男人,真心,伤心,0.8166,0.8041,0.7889
吃饭,饭时,傻瓜,0.7053,0.6323,0.3266
生老病死,坚持,自己,0.7156,0.6864,0.6071
记住,这么,你好,0.7612,0.7118,0.5902
寂寞,眼眶,究竟,0.8389,0.7385,0.7327
人生感,放松,其实,0.8423,0.7945,0.7585
杀青,行动,看看,0.8729,0.5878,0.4999
看守所,连衣裙,毛病,0.8271,0.4979,0.3935
相爱,不再,没法,0.8596,0.7769,0.6895
拜年,洗头发,鸟巢,0.7971,0.7111,0.6293
张智霖,晚餐,主题,0.7511,0.6585,0.5544
健康,祝您,元旦,0.8097,0.7401,0.7049
十年,相差,孙中山,0.8011,0.7805,0.6509
按摩,稍稍,加大力度,0.8355,0.5144,0.385
爱车,冷凝器,喝酒,0.7902,0.614,0.3875
年轻气盛,通晓,义无反顾,0.8847,0.8198,0.5808
内部,装修,豪华,0.6358,0.5854,0.4649
脆弱,失败,大神,0.8176,0.774,0.7573
洒洒,其实,可能性,0.8039,0.7284,0.6311
奔驰,车型,打造,0.7855,0.6213,0.6013
不动声色,身上,学,0.85,0.7326,0.3526
