Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
随缘,流汗,残缺,0.7203,0.6201,0.4712
起飞,乘务员,抛弃,0.8377,0.8241,0.4179
回不去,色彩斑斓,公开,0.795,0.6138,0.4645
一辈子,连本带利,闲事,0.8548,0.5954,0.5447
疏远,播出,任务,0.6432,0.5761,0.5075
部长,相似之处,泥水匠,0.7227,0.5976,0.4722
爬山,季节,适合,0.8641,0.3499,0.3231
电视台,拍摄,大闸蟹,0.7625,0.4672,0.4496
婚礼,尴尬,温馨,0.7006,0.6869,0.6865
失去,默默,傻瓜,0.7252,0.6735,0.6328
放弃,我,能,0.8015,0.5684,0.3479
路过,被套,男生,0.6881,0.6687,0.6612
走投无路,汗水,那份,0.7352,0.6662,0.6552
措手不及,一天,或许,0.8495,0.6387,0.6117
风起云涌,小日子,司空,0.6896,0.6642,0.4989
疼,在乎,骂,0.6596,0.5143,0.3719
风景,孤独,站台,0.7817,0.4243,0.4209
机会,职场,经典语录,0.6407,0.6317,0.615
发自内心,今天,负责,0.8106,0.6655,0.5005
随时随地,手机,这位,0.7454,0.7189,0.5275
感动,奶奶,一个碗,0.6559,0.6515,0.6442
患得患失,宠辱不惊,打击,0.799,0.7197,0.5891
外卖,爆笑,民间,0.8288,0.4347,0.2726
回头,漂亮,赶路,0.7768,0.6716,0.6196
开心,小孩,发现,0.7163,0.6077,0.4082
治愈,埋怨,地铁,0.7087,0.5386,0.5021
做饭,自己,还是,0.8785,0.5006,0.367
想念,蛋蛋,”“,0.7649,0.7308,0.5765
大师,盛宴,下次,0.7192,0.6922,0.6325
不想,恭喜发财,第四季,0.6561,0.5982,0.5934
吃火锅,吃不完,藏书,0.7695,0.6139,0.4933
笑贫不笑娼,知识,奋进,0.7036,0.5937,0.5152
相伴,安心,鼓励,0.7556,0.6508,0.5729
生态,实景,张家港,0.7705,0.6992,0.5416
未来,我们,终点,0.672,0.5656,0.53
一辈子,仆人,操劳,0.7681,0.7247,0.4764
从来不,拍照,风格,0.6676,0.6651,0.5486
眼前,放过,享受,0.704,0.6845,0.5186
车灯,飞去,另一只,0.7081,0.6169,0.5612
春色满园,天真无邪,阖家欢乐,0.7791,0.7474,0.7298
讲课,熟能生巧,瑜伽,0.8104,0.6563,0.6031
喷泉,盛宴,试运,0.7217,0.6251,0.314
中暑,感觉,喝,0.6814,0.5524,0.4474
演绎,爱情,阴谋,0.6763,0.615,0.5342
景色,岁岁年年,个人,0.7866,0.5188,0.2992
动画片,国产,催泪,0.8377,0.5728,0.5198
毫无关系,同学,牛肉,0.6246,0.6083,0.5179
糟老头子,得不到,嫁给,0.7939,0.7484,0.6974
不如意,孤独,说出,0.7203,0.6843,0.6837
清澈,黑管,度,0.858,0.6725,0.4014
教训,妈妈,哈尔滨,0.7302,0.5638,0.511
开口,原来,切记,0.7337,0.6937,0.5932
不言,祈祷,后果,0.6961,0.6878,0.5044
大熊猫,穿山甲,行动者,0.6628,0.5876,0.4446
请安,签证,茶,0.6239,0.6141,0.2921
银装素裹,银山,古城,0.7801,0.584,0.5582
狗,这,精,0.7084,0.4373,0.4319
烧香,提醒,指挥,0.596,0.5072,0.4761
美不美,大家,说,0.7965,0.5513,0.5156
宿舍,生日快乐,苏州,0.7742,0.5866,0.4682
委屈,所有人,优秀,0.6538,0.5887,0.4626
教,送给,文章,0.6952,0.6,0.4122
睡起,一天,吃,0.667,0.665,0.4558
从天而降,没关系,插曲,0.7903,0.7801,0.6199
坐拥书城,红包,很多,0.7519,0.4459,0.3627
陪伴,传话,命中,0.7469,0.6504,0.6011
小老鼠,过来,改变,0.7356,0.6943,0.6263
偷得浮生,半日闲,半日,0.8691,0.7626,0.4618
塌下来,方便,上将,0.7357,0.5295,0.452
上班,一大早,吃饭,0.7785,0.5107,0.4859
实不相瞒,速写,丢人,0.7656,0.6838,0.6327
情人,眼神,过眼,0.7982,0.7245,0.7184
一片,一扇,青,0.7813,0.7719,0.5167
好吃,椰子,全家,0.6806,0.6229,0.4784
虚情假意,说话,有事,0.7994,0.6925,0.5156
寒山寺,姑苏,城外,0.8256,0.7371,0.7308
泳池,秋意浓,投资,0.7399,0.5817,0.3994
疼,阻断,一切,0.6736,0.4837,0.4585
游客,嘿嘿,四张,0.7706,0.513,0.3978
颐和,充实,奴隶,0.6367,0.6026,0.4867
车型,总体,显然,0.6821,0.5835,0.4845
相信,第二个,答案,0.7008,0.6525,0.6515
失去,依赖,感情,0.7898,0.7034,0.6871
茶话会,新春,辛苦,0.7534,0.5233,0.4067
心疼,如果,大把大把,0.8153,0.4231,0.391
伤怀,晚照,清江,0.7081,0.6605,0.555
盏灯,拍,小屋,0.5973,0.5683,0.5519
农家菜,大闸蟹,农家,0.9605,0.7391,0.4015
拍照,高兴,不大,0.8707,0.4321,0.2356
茶,蛋糕,一辈子,0.638,0.5189,0.5137
邂逅,森林,作曲,0.6784,0.6264,0.5224
大舌头,南方人,为什么,0.7551,0.6629,0.5606
安静下来,湖面,下来,0.8042,0.6705,0.4778
办公室,精简机构,挺不错,0.9012,0.7998,0.4178
电台,情歌,赶快,0.7369,0.6173,0.5118
悄无声息,静静的,角落里,0.8237,0.8177,0.8012
身边,一点点,计划,0.7389,0.7245,0.5741
依旧,雨后,梅花,0.7132,0.6314,0.5249
客船,姑苏,夜半钟声,0.8539,0.6044,0.5456
公园,静谧,山,0.9185,0.6583,0.5272
五分钟,摩登,兄弟,0.7442,0.634,0.4705
壮观,河,之一,0.7114,0.46,0.4485
毕业,表演系,拼命,0.7819,0.768,0.5267
公园,天气预报,园区,0.8531,0.5321,0.4712
不期而遇,善良,世界,0.8757,0.6459,0.4857
洗澡,妈妈,放进,0.7683,0.5867,0.4724
散散心,美景,。。。,0.9215,0.8354,0.2432
没事儿,男生,胃,0.6799,0.5112,0.475
不翼而飞,刑司,皇上,0.6194,0.5746,0.5363
天窗,没关系,贵重物品,0.7311,0.6586,0.6439
可爱,狗子,看,0.7491,0.6786,0.4108
园林,留园,打卡,0.8726,0.8324,0.3477
医师,十字架,开给,0.7752,0.4533,0.3607
莱山,风雨交加,住,0.6115,0.5789,0.3537
解解闷,闲着没事,污浊,0.7672,0.7536,0.6386
苏州,苏州城,印象,0.8363,0.8169,0.4752
冷飕飕,漫步,吉他,0.7151,0.6029,0.5827
神经病,金鹰奖,舞台,0.736,0.5712,0.5036
透了心,回家路上,女士,0.7916,0.7384,0.6033
放弃,急于求成,有时候,0.7901,0.7856,0.7016
太阳,变暖,两天,0.6141,0.5483,0.5471
大闸蟹,落叶,大闸,0.5965,0.498,0.4532
徒步,游记,老和尚,0.8184,0.6671,0.508
吃饭,不在乎,坚持,0.7971,0.6611,0.5252
